"worker","dateTime","Total","visqlServer1","visqlServer2","dataserver","wgserver","backgrounder","postgres","tdeserver64","other"
w2,12/29/2014 14:48:00.926,269,184,340,73,326,37,50,35,212
w2,12/29/2014 14:48:01.925,269,190,336,74,385,36,49,35,227
w2,12/29/2014 14:48:02.923,270,201,340,75,389,46,49,34,264
w2,12/29/2014 14:48:03.921,269,201,343,74,397,46,49,33,227
w2,12/29/2014 14:48:04.920,269,205,336,73,438,44,50,34,584
